Timestamp,Actual Position,Target Position,IMU Data
1732127772.2003062,"[-1444, -1443]",[-9000],0
1732127772.2003062,"[-1443, -1443]",[-9000],0
1732127772.2083375,"[-1443, -1443]",[-9000],0
1732127772.2083375,"[-1443, -1443]",[-9000],0
1732127772.2174652,"[-1443, -1443]",[-9000],0
1732127772.2174652,"[-1443, -1443]",[-9000],0
1732127772.2244742,"[-1443, -1443]",[-9000],0
1732127772.2244742,"[-1443, -1443]",[-9000],0
1732127772.2324848,"[-1443, -1443]",[-9000],0
1732127772.2324848,"[-1443, -1443]",[-9000],0
1732127772.2409334,"[-1443, -1443]",[-9000],0
1732127772.2490115,"[-1443, -1443]",[-9000],0
1732127772.2490115,"[-1443, -1443]",[-9000],0
1732127772.2571056,"[-1443, -1443]",[-9000],0
1732127772.2580266,"[-1443, -1443]",[-9000],0
1732127772.2655587,"[-1443, -1443]",[-9000],0
1732127772.2655587,"[-1443, -1443]",[-9000],0
1732127772.2736523,"[-1443, -1443]",[-9000],0
1732127772.275731,"[-1443, -1443]",[-9000],0
1732127772.2817433,"[-1443, -1442]",[-9000],0
1732127772.2817433,"[-1443, -1443]",[-9000],0
1732127772.2905345,"[-1443, -1442]",[-9000],0
1732127772.2905345,"[-1443, -1443]",[-9000],0
1732127772.298052,"[-1443, -1443]",[-9000],0
1732127772.298052,"[-1443, -1442]",[-9000],0
1732127772.3065438,"[-1443, -1443]",[-9000],0
1732127772.3067367,"[-1443, -1443]",[-9000],0
1732127772.3145905,"[-1443, -1443]",[-9000],0
1732127772.3145905,"[-1443, -1443]",[-9000],0
1732127772.3145905,"[-1443, -1442]",[-9000],0
1732127772.323545,"[-1443, -1443]",[-9000],0
1732127772.3310606,"[-1443, -1443]",[-9000],0
1732127772.3310606,"[-1443, -1443]",[-9000],0
1732127772.3396993,"[-1443, -1443]",[-9000],0
1732127772.3396993,"[-1443, -1443]",[-9000],0
1732127772.3396993,"[-1443, -1442]",[-9000],0
1732127772.3476999,"[-1443, -1443]",[-9000],0
1732127772.3476999,"[-1443, -1443]",[-9000],0
1732127772.356311,"[-1443, -1443]",[-9000],0
1732127772.3636074,"[-1443, -1443]",[-9000],0
1732127772.3636074,"[-1443, -1443]",[-9000],0
1732127772.3723962,"[-1443, -1443]",[-9000],0
